LINE,FIELD,LITERAL,"FIELD TYPE",BYTES,COLUMNS,
41,24.2a,"Date(s) of Service - (To Day)",N,2,13-14,
41,24.2a,"Date(s) of Service - (To Year)",N,2,16-17,
41,24.2b,"Place of Service",A/N,2,19-20,
41,24.2c,EMG,A,2,22-23,
41,24.2d,"Procedures, Svcs or Supplies (CPT/HCPCS)",A/N,6,25-30,
41,24.2d,"Procedures, Svcs or Supplies (Modifier 1)",A/N,2,33-34,
41,24.2d,"Procedures, Svcs or Supplies (Modifier 2)",A/N,2,36-37,
41,24.2d,"Procedures, Svcs or Supplies (Modifier 3)",A/N,2,39-40,
41,24.2d,"Procedures, Svcs or Supplies (Modifier 4)",A/N,2,42-43,
41,24.2e,"Diagnosis Pointer",N,4,45-48,
41,24.2f,"$ Charges",N,8,50-57,
41,24.2g,"Days or Units",N,3,59-61,
41,24.2h,"EPSDT Family Plan",A,1,63,
41,24.2i,"Legacy Qualifier Rendering Provider (Leave Blank)",A/N,0,,
41,24.2j,"Legacy Provider Number Rendering Provider",A/N,11,68-78,
42,24,"Line Detail Narrative",A/N,63,01-63,
42,24.3i,"Legacy Qualifier Rendering Provider",A/N,2,65-66,
42,24.3j,"Legacy Provider Number Rendering Provider",A/N,11,68-78,
43,24.3a,"Date(s) of Service - (From Month)",N,2,01-02,
43,24.3a,"Date(s) of Service - (From Day)",N,2,04-05,
43,24.3a,"Date(s) of Service - (From Year)",N,2,07-08,
43,24.3a,"Date(s) of Service - (To Month)",N,2,10-11,
43,24.3a,"Date(s) of Service - (To Day)",N,2,13-14,
43,24.3a,"Date(s) of Service - (To Year)",N,2,16-17,
43,24.3b,"Place of Service",A/N,2,19-20,
43,24.3c,EMG,A,2,22-23,
43,24.3d,"Procedures, Svcs or Supplies (CPT/HCPCS)",A/N,6,25-30,
43,24.3d,"Procedures, Svcs or Supplies (Modifier 1)",A/N,2,33-34,
43,24.3d,"Procedures, Svcs or Supplies (Modifier 2)",A/N,2,36-37,
43,24.3d,"Procedures, Svcs or Supplies (Modifier 3)",A/N,2,39-40,
43,24.3d,"Procedures, Svcs or Supplies (Modifier 4)",A/N,2,42-43,
43,24.3e,"Diagnosis Pointer",N,4,45-48,
43,24.3f,"$ Charges",N,8,50-57,
43,24.3g,"Days or Units",N,3,59-61,
43,24.3h,"EPSDT Family Plan",A,1,63,
43,24.3i,"Legacy Qualifier Rendering Provider (Leave Blank)",A/N,0,,
43,24.3j,"Legacy Provider Number Rendering Provider",A/N,11,68-78,
44,24,"Line Detail Narrative",A/N,63,01-63,
44,24.4i,"Legacy Qualifier Rendering Provider",A/N,2,65-66,
44,24.4j,"Legacy Provider Number Rendering Provider",A/N,11,68-78,
45,24.4a,"Date(s) of Service - (From Month)",N,2,01-02,
45,24.4a,"Date(s) of Service - (From Day)",N,2,04-05,
45,24.4a,"Date(s) of Service - (From Year)",N,2,07-08,
45,24.4a,"Date(s) of Service - (To Month)",N,2,10-11,
45,24.4a,"Date(s) of Service - (To Day)",N,2,13-14,
45,24.4a,"Date(s) of Service - (To Year)",N,2,16-17,
45,24.4b,"Place of Service",A/N,2,19-20,
45,24.4c,EMG,A,2,22-23,
45,24.4d,"Procedures, Svcs or Supplies (CPT/HCPCS)",A/N,6,25-30,
45,24.4d,"Procedures, Svcs or Supplies (Modifier 1)",A/N,2,33-34,
45,24.4d,"Procedures, Svcs or Supplies (Modifier 2)",A/N,2,36-37,
45,24.4d,"Procedures, Svcs or Supplies (Modifier 3)",A/N,2,39-40,
45,24.4d,"Procedures, Svcs or Supplies (Modifier 4)",A/N,2,42-43,
45,24.4e,"Diagnosis Pointer",N,4,45-48,
45,24.4f,"$ Charges",N,8,50-57,
45,24.4g,"Days or Units",N,3,59-61,
45,24.4h,"EPSDT Family Plan",A,1,63,
45,24.4i,"Legacy Qualifier Rendering Provider (Leave Blank)",A/N,0,,
45,24.4j,"Legacy Provider Number Rendering Provider",A/N,11,68-78,
46,24,"Line Detail Narrative",A/N,63,01-63,
46,24.5i,"Legacy Qualifier Rendering Provider",A/N,2,65-66,
46,24.5j,"Legacy Provider Number Rendering Provider",A/N,11,68-78,
47,24.5a,"Date(s) of Service - (From Month)",N,2,01-02,
47,24.5a,"Date(s) of Service - (From Day)",N,2,04-05,
47,24.5a,"Date(s) of Service - (From Year)",N,2,07-08,
47,24.5a,"Date(s) of Service - (To Month)",N,2,10-11,
47,24.5a,"Date(s) of Service - (To Day)",N,2,13-14,
47,24.5a,"Date(s) of Service - (To Year)",N,2,16-17,
47,24.5b,"Place of Service",A/N,2,19-20,
47,24.5c,EMG,A,2,22-23,
47,24.5d,"Procedures, Svcs or Supplies (CPT/HCPCS)",A/N,6,25-30,
47,24.5d,"Procedures, Svcs or Supplies (Modifier 1)",A/N,2,33-34,
47,24.5d,"Procedures, Svcs or Supplies (Modifier 2)",A/N,2,36-37,
47,24.5d,"Procedures, Svcs or Supplies (Modifier 3)",A/N,2,39-40,
47,24.5d,"Procedures, Svcs or Supplies (Modifier 4)",A/N,,2,42-43
47,24.5e,"Diagnosis Pointer",N,,4,45-48
47,24.5f,"$ Charges",N,,8,50-57
47,24.5g,"Days or Units",N,,3,59-61
47,24.5h,"EPSDT Family Plan",A,,1,63
47,24.5i,"Legacy Qualifier Rendering Provider (Leave Blank)",A/N,0,,
47,24.5j,"Legacy Provider Number Rendering Provider",A/N,11,68-78,
48,24,"Line Detail Narrative",A/N,63,01-63,
48,24.6i,"Legacy Qualifier Rendering Provider",A/N,2,65-66,
48,24.6j,"Legacy Provider Number Rendering Provider",A/N,11,68-78,
49,24.6a,"Date(s) of Service - (From Month)",N,2,01-02,
49,24.6a,"Date(s) of Service - (From Day)",N,2,04-05,
49,24.6a,"Date(s) of Service - (From Year)",N,2,07-08,
49,24.6a,"Date(s) of Service - (To Month)",N,2,10-11,
49,24.6a,"Date(s) of Service - (To Day)",N,2,13-14,
49,24.6a,"Date(s) of Service - (To Year)",N,2,16-17,
49,24.6b,"Place of Service",A/N,2,19-20,
49,24.6c,EMG,A,2,22-23,
49,24.6d,"Procedures, Svcs or Supplies (CPT/HCPCS)",A/N,6,25-30,
49,24.6d,"Procedures, Svcs or Supplies (Modifier 1)",A/N,2,33-34,
49,24.6d,"Procedures, Svcs or Supplies (Modifier 2)",A/N,2,36-37,
49,24.6d,"Procedures, Svcs or Supplies (Modifier 3)",A/N,2,39-40,
49,24.6d,"Procedures, Svcs or Supplies (Modifier 4)",A/N,2,42-43,
49,24.6e,"Diagnosis Pointer",N,4,45-48,
49,24.6f,"$ Charges",N,8,50-57,
49,24.6g,"Days or Units",N,3,59-61,
49,24.6h,"EPSDT Family Plan",A,1,63,
49,24.6i,"Legacy Qualifier Rendering Provider (Leave Blank)",A/N,0,,
49,24.6j,"Legacy Provider Number Rendering Provider",A/N,11,68-78,
51,25,"Federal Tax ID Number",N,15,1-15,
51,25,"Federal Tax ID Number (SSN)",M,1,17,
51,25,"Federal Tax ID Number (EIN)",M,1,19,
51,26,"Patient's Account Number",A/N,14,23-36,
51,27,"Accept Assignment (Yes)",M,1,38,
51,27,"Accept Assignment (No)",M,1,43,
51,28,"Total Charge",N,9,51-59,
51,29,"Amount Paid",N,8,62-69,
51,30,"Balance Due",N,8,71-78,
52,33,"Billing Provider Phone Number Area Code",N,3,66-68,
52,33,"Billing Provider Phone Number",N,9,70-78,
53,32,"Name of Facility Where Svcs Rendered",A/N,26,23-48,
53,33,"Physician/Supplier Billing Name",A/N,29,50-78,
54,32,"Address of Facility Where Svcs Rendered",A/N,26,23-48,
54,33,"Physician/Supplier Address",A/N,29,50-78,
55,31,"Left Blank for Signature Physician/Supplier",,,,
55,32,"City, State and ZIP Code of Facility",A/N,26,23-48,
55,33,"City, State and ZIP Code of Billing Provider",A/N,29,50-78,
56,32a,"Facility NPI Number",N,10,24-33,
56,32b,"Facility Qualifier and Legacy Number",A/N,14,35-48,
56,33a,"Billing Provider NPI Number",N,10,51-60,
56,33b,"Billing Provider Qualifier and Legacy Number",A/N,17,62-78,
